school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,M,21,R,GT3,T,2,4,health,at_home,reputation,mother,1,2,1,yes,yes,no,yes,yes,yes,no,no,5,1,2,1,2,2,12,11.244699518788893,14.87111049040867,14.983471050481365
MS,F,18,R,LE3,T,0,0,services,services,home,mother,1,2,0,no,no,yes,no,no,no,no,yes,5,5,2,3,3,1,21,11.284662998551314,11.405286181042312,12.039264135757962
GP,F,20,R,LE3,T,4,0,health,health,home,father,1,2,3,yes,no,no,no,yes,no,yes,yes,3,5,4,3,4,1,17,14.522755909591307,13.657934143398924,15.995628516471772
GP,F,22,R,LE3,T,2,4,at_home,health,other,father,3,4,0,no,yes,yes,no,no,yes,yes,yes,5,5,3,2,4,5,14,6.961720141845862,16.363554706803974,16.094563669710602
GP,F,22,U,GT3,A,1,2,services,other,other,father,1,3,1,yes,no,yes,no,no,yes,no,yes,3,1,5,1,1,5,6,11.889291477813698,14.218868900232248,16.46550993170413
MS,F,17,U,GT3,T,2,4,services,health,course,other,4,1,2,yes,no,yes,no,no,yes,yes,yes,3,3,3,4,4,3,14,11.96729640870186,11.715519032859003,13.302813471577347
GP,M,22,R,GT3,T,2,4,other,services,other,other,4,3,1,yes,no,no,no,no,no,no,no,3,1,1,1,5,5,24,11.143174447832866,17.832146027063704,16.188480865791316
GP,F,21,U,GT3,T,1,2,services,health,home,mother,3,2,2,no,no,yes,yes,no,no,no,yes,1,2,5,4,4,5,2,10.351386604266152,11.86604609661413,15.068986827558726
GP,M,19,R,GT3,A,3,4,health,at_home,home,father,2,4,0,yes,no,no,no,no,no,no,yes,1,4,1,3,5,5,29,9.869822830138471,12.279398872176976,13.895766274342865
MS,M,15,U,GT3,T,3,0,other,health,home,other,2,4,0,yes,yes,no,yes,no,no,no,yes,1,2,1,1,5,4,25,12.847351467795717,11.509123653680739,13.641364108031645
GP,F,21,R,GT3,T,0,4,services,other,reputation,father,4,3,3,yes,no,no,yes,no,no,yes,yes,1,2,1,1,1,4,13,8.969740623421373,8.323191147132626,11.482737932459328
GP,F,19,R,LE3,A,0,2,services,health,reputation,other,4,3,2,no,no,yes,no,yes,no,yes,yes,2,4,5,3,1,3,19,12.483554766755576,7.992642112845406,11.524643716071509
GP,M,20,U,GT3,A,3,3,at_home,services,other,other,3,1,1,yes,yes,yes,yes,yes,no,yes,yes,4,5,5,1,4,3,3,10.341285184887603,10.337392635142264,11.544084392011731
GP,F,22,U,LE3,T,4,4,services,services,course,mother,2,4,0,no,no,no,yes,yes,yes,no,no,4,1,4,4,1,2,3,10.54078344052376,8.958800539304516,11.911958519768799
MS,F,20,R,LE3,T,2,1,teacher,health,course,mother,2,3,2,yes,yes,no,yes,no,no,no,yes,3,3,2,1,1,3,2,12.590973468350375,11.166989408741081,14.175262441535082
GP,M,22,R,GT3,T,4,0,other,services,course,other,1,1,1,yes,no,no,no,no,no,no,no,5,2,3,4,3,2,4,10.507227766067412,14.478485496027881,13.627088175239757
MS,M,15,U,GT3,T,2,0,teacher,services,reputation,mother,1,2,2,yes,no,no,yes,no,no,yes,no,1,2,3,2,4,5,24,15.80113398758781,10.772794241029874,15.446846358022661
MS,F,16,U,LE3,T,3,1,other,other,home,other,1,3,1,no,yes,no,yes,yes,no,yes,yes,4,3,1,1,4,3,10,11.579801921167075,12.659886299445489,14.04850536014822
MS,M,15,R,LE3,A,0,1,at_home,at_home,home,other,3,2,1,yes,no,yes,yes,yes,yes,no,yes,4,1,5,4,4,3,7,15.139945082525339,10.482280993707866,15.128796308159743
GP,F,18,U,GT3,A,0,4,services,other,reputation,father,4,1,1,yes,no,yes,yes,yes,no,yes,no,1,2,5,3,1,3,25,9.714216467837153,19.635106570210812,16.012502623409876
MS,F,21,R,GT3,T,4,1,services,teacher,course,mother,3,2,1,yes,yes,yes,no,yes,no,yes,no,2,3,1,2,1,2,1,9.647695879495178,16.524704794743528,15.356343568981844
GP,F,17,R,LE3,T,0,3,services,other,course,mother,2,4,2,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,5,2,27,7.010833455358442,11.257178556246462,10.142126290021734
MS,M,16,R,GT3,A,3,2,other,health,other,mother,4,4,2,no,no,no,yes,no,yes,yes,yes,4,5,3,4,2,1,15,10.52352727562389,12.816597779261373,12.750003961534839
MS,M,15,R,GT3,T,4,1,services,at_home,other,father,1,2,3,yes,yes,yes,no,yes,no,no,no,2,5,4,1,2,2,24,11.302182291032226,7.97884744471105,8.987995806595393
